sample,label,dataset
"Since the construction of its oldest buildings, the university's physical plant has grown substantially. Over the years 29 residence halls have been built to accommodate students and each has been constructed with its own chapel. Many academic building were added together with a system of libraries, the most prominent of which is the Theodore Hesburgh Library, built in 1963 and today containing almost 4 million books. Since 2004, several buildings have been added, including the DeBartolo Performing Arts Center, the Guglielmino Complex, and the Jordan Hall of Science. Additionally, a new residence for men, Duncan Hall, was begun on March 8, 2007, and began accepting residents for the Fall 2008 semester. Ryan Hall was completed and began housing undergraduate women in the fall of 2009. A new engineering building, Stinson-Remick Hall, a new combination Center for Social Concerns/Institute for Church Life building, Geddes Hall, and a law school addition have recently been completed as well. Additionally the new hockey",No,squad
"American comic books have adopted the character type for stories of their own like the mutant-villain Silver Samurai of Marvel Comics. The design of this character preserves the samurai appearance; the villain is “Clad in traditional gleaming samurai armor and wielding an energy charged katana” (Buxton, 2013). Not only does the Silver Samurai make over 350 comic book appearances, the character is playable in several video games, such as Marvel Vs. Capcom 1 and 2. In 2013, the samurai villain was depicted in James Mangold’s film The Wolverine. Ten years before the Wolverine debuted, another film helped pave the way to ensure the samurai were made known to American cinema: A film released in 2003 titled The Last Samurai, starring Tom Cruise, is inspired by the samurai way of life. In the film, Cruise’s character finds himself deeply immersed",No,squad
"A true predator can commonly be known as one that kills and eats another living thing. Whereas other types of predator all harm their prey in some way, this form kills them. Predators may hunt actively for prey in pursuit predation, or sit and wait for prey to approach within striking distance, as in ambush predators. Some predators kill large prey and dismember or chew it prior to eating it, such as a jaguar or a human; others may eat their (usually much smaller) prey whole, as does a bottlenose dolphin swallowing a fish, or a snake, duck or stork swallowing a frog. Some animals that kill both large and small prey for their size (domestic cats and dogs are prime examples) may do either depending upon the circumstances; either would devour a large insect whole but dismember a rabbit. Some predation entails venom that subdues a",No,squad
"In 680 Ibn al-Zubayr fled Medina for Mecca. Hearing about Husayn's opposition to Yazid I, the people of Kufa sent to Husayn asking him to take over with their support. Al-Husayn sent his cousin Muslim bin Agail to verify if they would rally behind him. When the news reached Yazid I, he sent Ubayd-Allah bin Ziyad, ruler of Basrah, with the instruction to prevent the people of Kufa rallying behind Al-Husayn. Ubayd-Allah bin Ziyad managed to disperse the crowd that gathered around Muslim bin Agail and captured him. Realizing Ubayd-Allah bin Ziyad had been instructed to prevent Husayn from establishing support in Kufa, Muslim bin Agail requested a message to be sent to Husayn to prevent his immigration to Kufa. The request was denied and Ubayd-Allah bin Ziyad killed Muslim bin Agail. While",No,squad
"The Treaty of Guadalupe Hidalgo, signed on February 2, 1848, by American diplomat Nicholas Trist and Mexican plenipotentiary representatives Luis G. Cuevas, Bernardo Couto, and Miguel Atristain, ended the war, gave the U.S. undisputed control of Texas, and established the U.S.–Mexican border of the Rio Grande. As news of peace negotiations reached the state, new call to arms began to flare among the people of the state. But as the Mexican officials in Chihuahua heard that General Price was heading back to Mexico with a large force comprising several companies of infantry and three companies of cavalry and one division of light artillery from Santa Fe on February 8, 1848, Ángel Trías sent a message to Sacramento Pass to ask for succession of the area as they understood the war had concluded. General Price, misunderstanding this as a deception by the Mexican forces, continued to advance towards the state capital. On March 16, 1848 Price began negotiations with Ángel",No,squad
"In December 2015, West released a song titled ""Facts"". He announced in January 2016 on Twitter that SWISH would be released on February 11, after releasing new song ""Real Friends"" and a snippet of ""No More Parties in L.A."" with Kendrick Lamar. This also revived the GOOD Fridays initiative in which Kanye releases new singles every Friday. On January 26, 2016, West revealed he had renamed the album from SWISH to Waves, and also announced the premier of his Yeezy Season 3 clothing line at Madison Square Garden. In early 2016, several weeks prior to the release of his new album, West became embroiled in a short-lived social media altercation with rapper Wiz Khalifa on Twitter that eventually involved their mutual ex-partner, Amber Rose, who protested to West's mention of her and Khalifa's child. The feud involved allegations by Rose concerning her sexual relationship with West, and received significant media attention. As of February 2, 2016,",No,squad
"On the other hand, the lack of an effective royal justice system in the Kingdom led to the social conflict known as the Guerras Irmandiñas ('Wars of the brotherhoods'), when leagues of peasants and burghers, with the support of a number of knights, noblemen, and under legal protection offered by the remote king, toppled many of the castles of the Kingdom and briefly drove the noblemen into Portugal and Castile. Soon after, in the late 15th century, in the dynastic conflict between Isabella I of Castile and Joanna La Beltraneja, part of the Galician aristocracy supported Joanna. After Isabella's victory, she initiated an administrative and political reform which the chronicler Jeronimo Zurita defined as ""doma del Reino de Galicia"": 'It was then when the taming of Galicia began, because not just the local lords and knights, but all the people of that nation were the ones against the others very bold and warlike'. These reforms, while establishing a local government and tribunal (the",No,squad
"Terry Eastland, the author who wrote From Ending Affirmative Action: The Case for Colorblind Justice states, ""Most arguments for affirmative action fall into two categories: remedying past discrimination and promoting diversity"". Eastland believes that the founders of affirmative action did not anticipate how the benefits of affirmative action would go to those who did not need it, mostly middle class minorities. Additionally, she argues that affirmative action carries with it a stigma that can create feelings of self-doubt and entitlement in minorities. Eastland believes that affirmative action is a great risk that only sometimes pays off, and that without it we would be able to compete more freely with one another. Libertarian economist Thomas Sowell identified what he says are negative results of affirmative action in his book, Affirmative Action Around the World: An Empirical Study. Sowell writes that affirmative action policies encourage non-preferred groups to designate themselves as members of preferred groups [i.e., primary beneficiaries of affirmative action] to take advantage of group preference",No,squad
"The Royal Assent ceremony takes place in the Senate, as the sovereign is traditionally barred from the House of Commons. On the day of the event, the Speaker of the Senate will read to the chamber a notice from the secretary to the governor general indicating when the viceroy or a deputy thereof will arrive. The Senate thereafter cannot adjourn until after the ceremony. The speaker moves to sit beside the throne, the Mace Bearer, with mace in hand, stands adjacent to him or her, and the governor general enters to take the speaker's chair. The Usher of the Black Rod is then commanded by the speaker to summon the Members of Parliament, who follow Black Rod back to the Senate, the Sergeant-at-Arms carrying the mace of the House of Commons. In the Senate, those from the commons stand behind the bar, while Black Rod proceeds to stand next to",No,squad
"The early and mid-1980s saw economic trouble for Libya; from 1982 to 1986, the country's annual oil revenues dropped from $21 billion to $5.4 billion. Focusing on irrigation projects, 1983 saw construction start on ""Gaddafi's Pet Project"", the Great Man-Made River; although designed to be finished by the end of the decade, it remained incomplete at the start of the 21st century. Military spending increased, while other administrative budgets were cut back. Libya had long supported the FROLINAT militia in neighbouring Chad, and in December 1980, re-invaded Chad at the request of the Frolinat-controlled GUNT government to aid in the civil war; in January 1981, Gaddafi suggested a political merger. The Organisation of African Unity (OAU) rejected this, and called for a Libyan withdrawal, which came about in November 1981. The civil war resumed, and so Libya sent troops back in, clashing with French forces who supported the southern Chadian forces. Many African nations had tired of Libya's policies of interference in foreign affairs; by 1980, nine",No,squad
"Sound could be stored in either analog or digital format and in a variety of surround sound formats; NTSC discs could carry two analog audio tracks, plus two uncompressed PCM digital audio tracks, which were (EFM, CIRC, 16-bit and 44.056 kHz sample rate). PAL discs could carry one pair of audio tracks, either analog or digital and the digital tracks on a PAL disc were 16-bit 44.1 kHz as on a CD; in the UK, the term ""LaserVision"" is used to refer to discs with analog sound, while ""LaserDisc"" is used for those with digital audio. The digital sound signal in both formats are EFM-encoded as in CD. Dolby Digital (also called AC-3) and DTS—which are now common on DVD titles—first became available on LaserDisc, and Star Wars: Episode I – The Phantom Menace (1999) which was released on LaserDisc in Japan, is among the first home video releases ever to include 6.1 channel Dolby Digital EX Surround. Unlike DVDs, which carry Dolby Digital audio in digital",No,squad
"From his diagrams of a small number of particles interacting in spacetime, Feynman could then model all of physics in terms of the spins of those particles and the range of coupling of the fundamental forces. Feynman attempted an explanation of the strong interactions governing nucleons scattering called the parton model. The parton model emerged as a complement to the quark model developed by his Caltech colleague Murray Gell-Mann. The relationship between the two models was murky; Gell-Mann referred to Feynman's partons derisively as ""put-ons"". In the mid-1960s, physicists believed that quarks were just a bookkeeping device for symmetry numbers, not real particles, as the statistics of the Omega-minus particle, if it were interpreted as three identical strange quarks bound together, seemed impossible if quarks were real. The Stanford linear accelerator deep inelastic scattering experiments of the late 1960s showed, analogously to Ernest Rutherford's experiment of scattering alpha particles on gold nuclei in 1911, that nucleons (protons and neutrons) contained point-like particles that scattered electrons.",No,squad
"In late 1203, John attempted to relieve Château Gaillard, which although besieged by Philip was guarding the eastern flank of Normandy. John attempted a synchronised operation involving land-based and water-borne forces, considered by most historians today to have been imaginative in conception, but overly complex for forces of the period to have carried out successfully. John's relief operation was blocked by Philip's forces, and John turned back to Brittany in an attempt to draw Philip away from eastern Normandy. John successfully devastated much of Brittany, but did not deflect Philip's main thrust into the east of Normandy. Opinions vary amongst historians as to the military skill shown by John during this campaign, with most recent historians arguing that his performance was passable, although not impressive.[nb 8] John's situation began to deteriorate rapidly. The eastern border region of Normandy had been extensively cultivated by Philip and his predecessors for several years,",No,squad
"In 2013, however, a study of Ashkenazi mitochondrial DNA by a team led by Martin B. Richards of the University of Huddersfield in England reached different conclusions, again corroborating the pre-2006 origin hypothesis. Testing was performed on the full 16,600 DNA units composing mitochondrial DNA (the 2006 Behar study had only tested 1,000 units) in all their subjects, and the study found that the four main female Ashkenazi founders had descent lines that were established in Europe 10,000 to 20,000 years in the past while most of the remaining minor founders also have a deep European ancestry. The study states that the great majority of Ashkenazi maternal lineages were not brought from the Near East (i.e., they were non-Israelite), nor were they recruited in the Caucasus (i.e., they were non-Khazar), but instead they were assimilated within Europe, primarily of Italian and Old French origins. Richards summarized the findings on the female line as such: ""[N]one [of the mtDNA] came from the",No,squad
"At the 1912 Salon d'Automne an architectural installation was exhibited that quickly became known as Maison Cubiste (Cubist House), signed Raymond Duchamp-Villon and André Mare along with a group of collaborators. Metzinger and Gleizes in Du ""Cubisme"", written during the assemblage of the ""Maison Cubiste"", wrote about the autonomous nature of art, stressing the point that decorative considerations should not govern the spirit of art. Decorative work, to them, was the ""antithesis of the picture"". ""The true picture"" wrote Metzinger and Gleizes, ""bears its raison d'être within itself. It can be moved from a church to a drawing-room, from a museum to a study. Essentially independent, necessarily complete, it need not immediately satisfy the mind: on the contrary, it should lead it, little by little, towards the fictitious depths in which the coordinative light resides. It does not harmonize with this or that ensemble; it harmonizes with things in general, with the universe: it",No,squad
"Some rock musicians today use mandolins, often single-stringed electric models rather than double-stringed acoustic mandolins. One example is Tim Brennan of the Irish-American punk rock band Dropkick Murphys. In addition to electric guitar, bass, and drums, the band uses several instruments associated with traditional Celtic music, including mandolin, tin whistle, and Great Highland bagpipes. The band explains that these instruments accentuate the growling sound they favor. The 1991 R.E.M. hit ""Losing My Religion"" was driven by a few simple mandolin licks played by guitarist Peter Buck, who also played the mandolin in nearly a dozen other songs. The single peaked at No. 4 on the Billboard Hot 100 chart (#1 on the rock and alternative charts), Luther Dickinson of North Mississippi Allstars and The Black Crowes has",No,squad
"President Truman, symbolizing a broad-based desire for an Eisenhower candidacy for president, again in 1951 pressed him to run for the office as a Democrat. It was at this time that Eisenhower voiced his disagreements with the Democratic party and declared himself and his family to be Republicans. A ""Draft Eisenhower"" movement in the Republican Party persuaded him to declare his candidacy in the 1952 presidential election to counter the candidacy of non-interventionist Senator Robert A. Taft. The effort was a long struggle; Eisenhower had to be convinced that political circumstances had created a genuine duty for him to offer himself as a candidate, and that there was a mandate from the populace for him to be their President. Henry Cabot Lodge, who served as his campaign manager, and others succeeded in convincing him, and in June 1952 he resigned his command at NATO to campaign full-time. Eisenhower defeated Taft for the nomination, having won critical delegate votes from Texas. Eisenhower's campaign was noted for the",No,squad
"In 2006, Morgan Stanley purchased 20 acres (8.1 ha) directly north of the Showboat Atlantic City Hotel and Casino for a new $2 billion plus casino resort. Revel Entertainment Group was named as the project's developer for the Revel Casino. Revel was hindered with many problems, with the biggest setback to the company being in April 2010 when Morgan Stanley, the owner of 90% of Revel Entertainment Group, decided to discontinue funding for continued construction and put its stake in Revel up for sale. Early in 2010 the New Jersey state legislature passed a bill offering tax incentives to attract new investors and complete the job, but a poll by Fairleigh Dickinson University's PublicMind released in March 2010 showed that three of five voters (60%) opposed the legislation, and two of three of those who opposed it ""strongly"" opposed it. Ultimately, Governor Chris Christie offered Revel $261 million in state tax credits to assist the casino once",No,squad
"The final major aspect of identity formation is self-esteem. Self-esteem is defined as one's thoughts and feelings about one's self-concept and identity. Most theories on self-esteem state that there is a grand desire, across all genders and ages, to maintain, protect and enhance their self-esteem. Contrary to popular belief, there is no empirical evidence for a significant drop in self-esteem over the course of adolescence. ""Barometric self-esteem"" fluctuates rapidly and can cause severe distress and anxiety, but baseline self-esteem remains highly stable across adolescence. The validity of global self-esteem scales has been questioned, and many suggest that more specific scales might reveal more about the adolescent experience. Girls are most likely to enjoy high self-esteem when engaged in supportive relationships with friends, the most important function of friendship to them is having someone who can provide social and moral support. When they fail to win friends' approval or couldn't find someone with whom to share common activities and common interests, in these cases, girls suffer from low",No,squad
"For its complete North American release, the Nintendo Entertainment System was progressively released over the ensuing years in four different bundles: the Deluxe Set, the Control Deck, the Action Set and the Power Set. The Deluxe Set, retailing at US$199.99 (equivalent to $475 in 2016), included R.O.B., a light gun called the NES Zapper, two controllers, and two Game Paks: Gyromite, and Duck Hunt. The Basic Set, retailing at US$89.99 with no game, and US$99.99 bundled with ""Super Mario Bros."" The Action Set, retailing in 1988 for US$149.99, came with the Control Deck, two game controllers, an NES Zapper, and a dual Game Pak containing both Super Mario Bros. and Duck Hunt. In 1989, the Power Set included the console, two game controllers, a NES Zapper, a Power Pad, and a triple Game Pak containing Super Mario Bros, Duck Hunt, and World Class Track Meet. In 1990, a Sports Set bundle was released, including the console, an NES Satellite infrared wireless",No,squad
"A period of division for the Liberals followed, with former Treasurer John Howard competing with former Foreign Minister Andrew Peacock for supremacy. The Australian economy was facing the early 1990s recession. Unemployment reached 11.4% in 1992. Under Dr John Hewson, in November 1991, the opposition launched the 650-page Fightback! policy document − a radical collection of ""dry"", economic liberal measures including the introduction of a Goods and Services Tax (GST), various changes to Medicare including the abolition of bulk billing for non-concession holders, the introduction of a nine-month limit on unemployment benefits, various changes to industrial relations including the abolition of awards, a $13 billion personal income tax cut directed at middle and upper income earners, $10 billion in government spending cuts, the abolition of state payroll taxes and the privatisation of a large number of government owned enterprises − representing the start of a very different future direction to the keynesian economic conservatism practiced by previous Liberal/National Coalition governments. The 15 percent GST was the centerpiece of the",No,squad
"Constantius, ordered Liberius into exile in 356 giving him, then, three days to comply. He was ordered into banishment to Beroea, in Thrace; Beroea (Thrace). He sent expensive presents, too, if he were to accept the Arian position but were refused. He sent him, indeed, five hundred pieces of gold ""to bear his charges"" but Liberius refused them, saying, he might bestow them on his flatters; as he did also a like present from the empress, bidding the messenger learn to believe in Christ, and not to persecute the Church of God. Attempts were made to leave the presents in The Church, but Liberius threw them out. Constantius hereupon sent for him under a strict guard to Milan, where, in a conference recorded by Theodoret, he boldly told Constantius that Athanasius had been acquitted at Sardica, and his enemies proved calumniators (see: ""calumny"") and impostors, and that",No,squad
"The Montana Territory was formed on April 26, 1864, when the U.S. passed the Organic Act. Schools started forming in the area before it was officially a territory as families started settling into the area. The first schools were subscription schools that typically held in the teacher's home. The first formal school on record was at Fort Owen in Bitterroot valley in 1862. The students were Indian children and the children of Fort Owen employees. The first school term started in early winter and only lasted until February 28. Classes were taught by Mr. Robinson. Another early subscription school was started by Thomas Dimsdale in Virginia City in 1863. In this school students were charged $1.75 per week. The Montana Territorial Legislative Assembly had its inaugural meeting in 1864. The first legislature authorized counties to levy taxes for schools, which set the foundations for public schooling. Madison County",No,squad
"On 20 June 1794, Burke received a vote of thanks from the Commons for his services in the Hastings Trial and he immediately resigned his seat, being replaced by his son Richard. A tragic blow fell upon Burke with the loss of Richard in August 1794, to whom he was tenderly attached, and in whom he saw signs of promise, which were not patent to others and which, in fact, appear to have been non-existent (though this view may have rather reflected the fact that Richard Burke had worked successfully in the early battle for Catholic emancipation). King George III, whose favour he had gained by his attitude on the French Revolution, wished to create him Earl of Beaconsfield, but the death of his son deprived the opportunity of such an honour and all its attractions, so the only award he would accept was a pension of £2,500. Even this modest reward was attacked by the Duke of Bedford and the Earl of Lauderdale, to whom Burke",No,squad
"The nation almost immediately fell into civil war that involved various factions fighting one another; these factions were often distinguished by clan loyalties. More than 500,000 residents fled during this time because of persecution, increased poverty and better economic opportunities in the West or in other former Soviet republics. Emomali Rahmon came to power in 1992, defeating former prime minister Abdumalik Abdullajanov in a November presidential election with 58% of the vote. The elections took place shortly after the end of the war, and Tajikistan was in a state of complete devastation. The estimated dead numbered over 100,000. Around 1.2 million people were refugees inside and outside of the country. In 1997, a ceasefire was reached between Rahmon and opposition parties under the guidance of Gerd D. Merrem, Special Representative to the Secretary General, a result widely praised as a successful United Nations peace keeping initiative. The ceasefire guaranteed 30% of",No,squad
"Several explanations have been offered for Yale’s representation in national elections since the end of the Vietnam War. Various sources note the spirit of campus activism that has existed at Yale since the 1960s, and the intellectual influence of Reverend William Sloane Coffin on many of the future candidates. Yale President Richard Levin attributes the run to Yale’s focus on creating ""a laboratory for future leaders,"" an institutional priority that began during the tenure of Yale Presidents Alfred Whitney Griswold and Kingman Brewster. Richard H. Brodhead, former dean of Yale College and now president of Duke University, stated: ""We do give very significant attention to orientation to the community in our admissions, and there is a very strong tradition of volunteerism at Yale."" Yale historian Gaddis Smith notes ""an ethos of organized activity"" at Yale during the 20th century that led John Kerry to lead the Yale Political Union's Liberal Party, George Pataki the Conservative Party, and Joseph Lieberman to manage",No,squad
"The last major building work took place during the reign of King George V when, in 1913, Sir Aston Webb redesigned Blore's 1850 East Front to resemble in part Giacomo Leoni's Lyme Park in Cheshire. This new, refaced principal façade (of Portland stone) was designed to be the backdrop to the Victoria Memorial, a large memorial statue of Queen Victoria, placed outside the main gates. George V, who had succeeded Edward VII in 1910, had a more serious personality than his father; greater emphasis was now placed on official entertaining and royal duties than on lavish parties. He arranged a series of command performances featuring jazz musicians such as the Original Dixieland Jazz Band (1919) – the first jazz performance for a head of state, Sidney Bechet, and Louis Armstrong (1932), which earned the palace a nomination in 2009 for a (Kind of) Blue Plaque by the Brecon Jazz Festival as one of the venues making the greatest contribution to jazz music in",No,squad
"The departures of Núñez and van Gaal were hardly noticed by the fans when compared to that of Luís Figo, then club vice-captain. Figo had become a cult hero, and was considered by Catalans to be one of their own. However, Barcelona fans were distraught by Figo's decision to join arch-rivals Real Madrid, and, during subsequent visits to the Camp Nou, Figo was given an extremely hostile reception. Upon his first return, a piglet's head and a full bottle of whiskey were thrown at him from the crowd. The next three years saw the club in decline, and managers came and went. van Gaal was replaced by Llorenç Serra Ferrer who, despite an extensive investment in players in the summer of 2000, presided over a mediocre league campaign and a humiliating first-round Champions League exit, and was eventually dismissed late in the season. Long-serving coach Carles Rexach was appointed",No,squad
"The walkout is in protest over the dismissal of two nurses involved in a violent struggle with a patient. Kevin Gregson and Peter Hilton were sacked despite using ""reasonable force"" against the unidentified patient, said the Prison Officers' Association (POA). But Mersey Care Trust, which runs Ashworth, said the evidence meant sacking the pair was its only option. More on this story and other news from Merseyside and Cheshire The dispute at the unit, one of three high security hospitals in England and Wales, began at 07:00 GMT. Steve Gillan, the POA's general secretary, said: ""I believe the general public will be outraged and extremely sympathetic to Mr Hilton and Mr Gregson, who were merely responding to a violent act in which the patient had headbutted a colleague and was spitting at staff during the incident. ""The actions of restraint were reasonable and the patient came to no harm, unlike the nurses. Whilst there should always be a",No,xsum
"Charles Blackman's oil work Women Lovers features two nude women resting on a bed beside a cat. Art broker Mossgreen tried to promote it on Facebook, but the social media network rejected it for ""advertising adult products or services"". Mossgreen chief executive Paul Summer said the decision was ""ridiculous"". ""This is a very beautiful image that is not overtly sexual in any shape or form,"" he told the BBC. ""It's like going back to the 1950s. It's ridiculous to censor this sort of thing."" Facebook said its decision was final, although Mossgreen has since reposted images of the work. ""Such ads lead to negative user sentiment and we have zero tolerance towards such advertisements,"" Facebook said in a message. Last month, a French teacher took Facebook to court after it suspended his account for posting an image of a nude woman painted by 19th Century artist Gustave Courbet. Mr Summer said Women Lovers was expected",No,xsum
"The Spy Who Came In From The Cold, set at the height of the Cold War, is being adapted by the Oscar-winning writer of Slumdog Millionaire, Simon Beaufoy. It follows Alec Leamas, a hard-drinking British intelligence officer whose East Berlin network is in tatters. Le Carre said he was ""very excited"" by the show, which will appear on BBC One. The series will be another co-production with US network AMC, following their joint effort on The Night Manager. Tom Hiddleston, Hugh Laurie and Olivia Colman all won Golden Globes for their roles in the drama, while the show itself was nominated for best mini series or TV film at the awards. The Spy Who Came In From The Cold is set in 1962, months after the building of the Berlin Wall. In the story, Leamas's agents are either on the run or dead - victims of the East German",No,xsum
"OUP analysed more than 120,421 short stories by children aged between five and 13 years old, submitted to the BBC's 500 Words competition. According to the OUP, new technology is increasingly at the centre of the children's lives but how they are writing about it is changing fast. Words including email, mobile and Facebook are in decline, it said. They are being replaced by the likes of Instagram, Snapchat and emoji. And the word television has now been superseded by phone. The report also notes a sudden new arrival in children's sentences. The use of the hashtag symbol # to add an extra meaning or comment at the end of a sentence has become commonplace. #IblameTwitter #AndInstagram. Vineeta Gupta at the Oxford University Press said: ""This has been a significant change in usage in this year, 2015. ""Children have extended its [#] use from a simple prefix or as a search term for Twitter to an editorial device to add drama or",No,xsum
"The 23-year-old Heracles forward claimed he was waiting to finalise a move to the Championship club. Slade insisted there was no truth to the reports but admitted he did have some interest in the player ""some time ago"". ""To my knowledge that's not something we're going to pursue,"" he said. Netherlands Under-21 international Weghorst began his career with FC Emmen before joining Heracles in 2014. Heracles chairman Jam Smit believed a fee had been agreed with Cardiff for Weghorst, who has also been linked with Celtic. ""I think all the forcing and all the speculation surrounding the player appears to be have come from the Netherlands,"" added Slade. ""There was an initial inquiry some time ago. That's all I can say."" Slade would like to make up to three signings during the window to aid Bluebirds' push for a Championship play-off place, with the",No,xsum
"The walk-in service is aimed at reducing doctor appointments and to help reduce the over-use of antibiotics, NHS England said. It is hoped the scheme could result in fewer visits to GPs -potentially saving the NHS millions of pounds a year. But pharmacies say cuts in funding to the sector could jeopardise the scheme. The Sore Throat Test and Treat service, which has been trialled in 35 Boots pharmacies, will determine if an illness is caused by a virus - meaning drugs will not help - or a bacterial infection. Results from a throat swab, which measures sugars on the tongue, are provided in five minutes. Patients who can be helped by antibiotics will be prescribed them by the pharmacist and not have to see a GP. NHS chief executive Simon Stevens said the scheme will be rolled out across the country over the coming year. Dr Adam Roberts, a microbiologist at University College London specialising in antibiotic resistance,",No,xsum
"The Sakurajima volcano on Japan's Kyushu island poses a ""growing threat"", researchers at the University of Bristol say. The volcano, located 49 km (30 miles) from the Sendai nuclear plant, is also close to Kagoshima, a city of 600,000. Sakurajima's last deadly eruption was in 1914, when 58 people died. The Japanese archipelago, which sits on the Pacific ""Ring of fire"", has more than 100 volcanoes. Sakurajima regularly spews ash and there are many small explosions there each year, with the latest eruption being in February. It is closely monitored by Japanese authorities and one of two volcanoes at Level 3 out of 5 levels in Japan's volcanic warning system, which means that people are warned not to to approach the volcano. ""The 1914 eruption measured about 1.5km cubed in volume,"" said the study's lead author Dr James Hickey, who has now joined the University of Exeter's Camborne School of Mines. ""From our data we",No,xsum
"You have create an A.I that will definitely pass the Turing Test, however, the result is a fail. It started out simple. Create an intelligent machine to discover illnesses and their cause. All the grant's we revived went to the team, my team. These people were geniuses, Min Low had a PHD in experimental chemistry, Greg Shepherd was revolutionary in his field of Applied Intelligence, and there were 20 others of no lower caliber. For years we had worked, bickered, and innovated. Together we would change the world. The program we had created was classified as a ANI, or Advanced Narrow Intelligence. ANI's were everywhere at this point, your personal assistant in your phone, the car that drove itself to work, they were everywhere in our lives. The only problem with them was they only understood a very thing line. They couldn't connect the dots like humans could. Ever since Alan Turing we had theorized about an",No,writing
"Something about cryogenic freezing and a person waking up to ask a computer, ""How Long? ``. ""Ugh, I was never good at mornings."" Good afternoon, Captain. Would you like a report? ""Afternoon? Shit. Uh, yeah, sure. Report."" Distance travelled: 2.354 lightyears. Time to arrival: 7 days. Incidents to report: None. ""Well that's nice."" The Captain, and make sure you read that with quotation marks placed either side of it, slid off the bed and lazily thumped to the kitchen area, stomach rumbling. ""What's on the menu?"" Due to a scheduling conflict, I am unable to respond. Would the Captain like his breakfast, lunch or dinner served? ""What? What time is it?"" It is currently 1654 Earth Time, Captain. ""Shit. Pah, give me dinner. What's it gon na be, chef?"" You have nutrient bars, or one steak in cold storage. ""Huh.... How long?"" Please re-state your query. ""How long have I had that steak?"" The steak has been in",No,writing